,author
842,"Cláudia Dias, António Jorge Gonçalves"
843,Mafalda Santos 
844,Daniel Faria 
845,ed. e sel. Fernando Gómez Aguilera 
846,Vassili Grossman 
847,Davide Enia 
848,Samuel Beckett 
849,María Hesse 
850,"Cláudia Dias, Idoia Zabaleta, António Jorge Gonçalves"
851,Jennifer Niven 
852,Kamo no Chomei 
853,Knut Hamsun 
854,Stefan Zweig 
855,Guerra Junqueiro
856,Padre António Vieira
857,Raúl Brandão
858,Jokha Alharthi 
859,Camillo Castello Branco
860,Mariana Abrunheiro 
861,"com. cient. Antonio Cardiello, Jerónimo Pizarro, Sílvia Laureano Costa "
862,Alice Hoffman 
863,Pedro Strecht 
864,Juan José Millás e Juan Luis Arsuaga  
865,Eugénio de Andrade 
866,Abdulrazak Gurnah  
867,Nan Shepherd 
868,Anthony Doerr 
869,Nélida Piñon
870,João Afonso
871,Saul Bellow 
872,Arsène Lupin 
873,Haruki Murakami 
874,Carlos de Oliveira 
875,Stanislaw Lem 
876,Knut Hamsun e Martin Ernstsen 
877,Boris Vian 
878,argumento Pascal Davoz 
879,Alice Vieira e Nélson Mateus
880,José Gardeazabal
881,Barry Strauss 
882,Mikhail Bulgákov 
883,Maya Angelou 
884,Carlos Querido
885,Luís Maio
886,Aldous Huxley 
887,André Malraux 
888,Mário de Carvalho  
889,Maria Àngels Anglada 
890,director artístico Tiago Rodrigues 
891,Mathias Énard 
892,versão de Pedro Tamen do texto inglês de N. K. Sandars 
893,Sándor Márai 
894,Jorge Amado
895,Rui Cardoso Martins
896,António Tabucchi 
897,Barry Hatton
898,Paulo Varela Gomes 
899,Pedro Mexia 
900,"Clara Moura Soares, Maria João Neto "
901,Nuno Camarneiro
902,Fiódor Dostoiévski 
903,Carlos Alberto Machado
904,Giuseppe Tomasi di Lampedusa 
905,Alberto S. Santos
906,Elie Wiesel 
907,Christiane F. 
908,Miguel Manso
909,Afonso Melo
910,Dostoiévski 
911,Guy Delisle 
912,Mário de Sá-Carneiro 
913,Gabriel García Márquez
914,Mary Shelley 
915,Abel Neves
916,Maksim Gorki 
917,Xavier de Maistre 
918,Teresa Veiga
919,Abel Barros Baptista
920,José Cardoso Pires. Precedido de «Carta a um amigo novo»
921,Cédric Villani 
922,Enric González 
923,Carlos de Oliveira
924,Almeida Faria 
925,Ernest Hemingway
926,Dinis Machado 
927,Pedro Eiras
928,Antonio Skármeta 
929,Jo Baker 
930,Jorge Luís Borges 
931,Marjane Satrapi 
932,Miguel de Cervantes Saavedra 
933,Karen Blixen 
934,J. D. Salinger 
935,João Rebocho Pais
936,André Oliveira
937,Teresa Martins Marques
938,António Patrício 
939,Natália Correia 
940,Valério Romão
941,David Malouf 
942,W. G. Sebald 
943,Leão Tolstoi 
944,Robert Ludlum 
945,Robert Harris 
946,Ruth Rendell 
947,Ricardo Araújo Pereira 
948,Antonio Tabucchi 
